GeoID,County,Year,Number of establishments,"Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,% Black,% Female,% Hispanic,% Veteran
48117,"Deaf Smith County, Texas",2022.0,353.0,327819.0,77836.0,6223.0,0.0,0.0,1.5,2.0
48119,"Delta County, Texas",2022.0,54.0,11580.0,2773.0,306.0,,2.85714285714285,0.0,0.0
48121,"Denton County, Texas",2022.0,19177.0,14854415.0,3598882.0,267471.0,0.0,0.0,0.0,0.0
48123,"DeWitt County, Texas",2022.0,444.0,302021.0,82991.0,5171.0,0.0,24.6325729866329,6.68351399880295,4.46897652457272
48125,"Dickens County, Texas",2022.0,36.0,8983.0,2240.0,209.0,,,0.0,
48127,"Dimmit County, Texas",2022.0,214.0,192786.0,43817.0,3589.0,0.0,0.0,0.0,12.2340425531914
48129,"Donley County, Texas",2022.0,75.0,10477.0,2352.0,394.0,,0.0,,
48131,"Duval County, Texas",2022.0,139.0,70112.0,16194.0,1811.0,,0.0,0.0,0.0
48133,"Eastland County, Texas",2022.0,489.0,265526.0,56982.0,5078.0,,0.0,0.0,0.0
48135,"Ector County, Texas",2022.0,3925.0,4174672.0,920055.0,61338.0,0.392997499106823,14.9696320114326,28.2243658449446,5.03751339764201
48137,"Edwards County, Texas",2022.0,41.0,7920.0,1800.0,223.0,0.0,0.0,0.0,0.0
48139,"Ellis County, Texas",2022.0,3734.0,2536583.0,596647.0,51506.0,1.61331845876598,22.3547584313052,55.2819016562258,6.55625160902771
48141,"El Paso County, Texas",2022.0,15989.0,10026839.0,2354625.0,248456.0,4.79825517993457,0.0,0.0,4.87095601599418
48143,"Erath County, Texas",2022.0,1075.0,562399.0,128082.0,12677.0,0.0,22.339405560882,0.0,0.479386385426653
48145,"Falls County, Texas",2022.0,240.0,78429.0,17852.0,1885.0,0.0,4.81927710843373,0.602409638554216,0.0
48147,"Fannin County, Texas",2022.0,525.0,245939.0,58411.0,5972.0,0.0,0.0,0.0,0.0
48149,"Fayette County, Texas",2022.0,776.0,332452.0,74371.0,7224.0,0.0,0.0,0.0,0.0
48151,"Fisher County, Texas",2022.0,63.0,26229.0,6284.0,506.0,0.0,0.0,0.0,0.0
48153,"Floyd County, Texas",2022.0,137.0,35341.0,8487.0,838.0,0.0,0.0,0.0,
48155,"Foard County, Texas",2022.0,24.0,6492.0,1488.0,175.0,0.0,0.0,0.0,0.0
48157,"Fort Bend County, Texas",2022.0,17654.0,10409932.0,2491115.0,205759.0,6.71756794620341,24.4746427570748,8.8890445502942,0.0
48159,"Franklin County, Texas",2022.0,173.0,134095.0,31431.0,6048.0,0.0,12.3809523809523,0.0,0.0
48161,"Freestone County, Texas",2022.0,369.0,131411.0,30881.0,3044.0,0.0,0.0,0.0,0.0
48163,"Frio County, Texas",2022.0,301.0,244537.0,57536.0,4876.0,,0.0,0.0,0.0
48165,"Gaines County, Texas",2022.0,508.0,287502.0,65553.0,4991.0,,0.0,0.0,0.0
48167,"Galveston County, Texas",2022.0,6408.0,4448817.0,1064721.0,90641.0,0.0,0.0,0.0,0.0
48169,"Garza County, Texas",2022.0,128.0,63380.0,14352.0,1235.0,,5.98290598290598,0.0,0.0
48171,"Gillespie County, Texas",2022.0,1173.0,493068.0,109734.0,11002.0,0.0,22.7272727272727,0.0,0.0
48173,"Glasscock County, Texas",2022.0,38.0,56423.0,12310.0,475.0,,5.88235294117647,,
48175,"Goliad County, Texas",2022.0,129.0,42704.0,10370.0,910.0,0.0,0.0,0.0,0.0
48177,"Gonzales County, Texas",2022.0,413.0,244466.0,61301.0,4933.0,,0.0,3.85756676557863,2.37388724035608
48179,"Gray County, Texas",2022.0,513.0,316417.0,74921.0,5986.0,0.0,0.0,0.0,0.0
48181,"Grayson County, Texas",2022.0,2847.0,1929937.0,448530.0,41183.0,0.0,18.0555555555555,0.0,0.0
48183,"Gregg County, Texas",2022.0,4058.0,3474248.0,796508.0,65472.0,0.0,18.0404810794954,0.0,0.0
48185,"Grimes County, Texas",2022.0,511.0,389648.0,85142.0,6380.0,,15.5,0.0,0.0
48187,"Guadalupe County, Texas",2022.0,2596.0,2184657.0,505439.0,40150.0,1.75123484508307,0.0,13.3812303547373,6.82532555006735
48189,"Hale County, Texas",2022.0,644.0,350816.0,89183.0,8518.0,,23.4401349072512,0.0,0.505902192242833
48191,"Hall County, Texas",2022.0,62.0,12566.0,2827.0,426.0,0.0,0.0,,
48193,"Hamilton County, Texas",2022.0,235.0,72191.0,16822.0,1972.0,,0.0,0.0,0.0
48195,"Hansford County, Texas",2022.0,142.0,59891.0,13367.0,1203.0,,0.0,0.0,
48197,"Hardeman County, Texas",2022.0,91.0,38077.0,8951.0,847.0,,0.0,,0.0
48199,"Hardin County, Texas",2022.0,869.0,404219.0,96052.0,9011.0,0.0,22.8323699421965,3.17919075144508,8.38150289017341
48201,"Harris County, Texas",2022.0,109874.0,160312571.0,42389241.0,2085860.0,5.42009666260892,22.2360158613458,14.0281309886825,4.04247369499451
48203,"Harrison County, Texas",2022.0,1399.0,948440.0,224312.0,18893.0,0.0,15.7399486740804,0.0,0.0
48205,"Hartley County, Texas",2022.0,128.0,67883.0,13996.0,1366.0,,0.0,0.0,
48207,"Haskell County, Texas",2022.0,136.0,41477.0,9849.0,1062.0,,0.0,,0.0
48209,"Hays County, Texas",2022.0,5656.0,3203088.0,713419.0,73007.0,0.883752549286199,17.5390890550645,12.1232721504645,4.39610242465443
48211,"Hemphill County, Texas",2022.0,125.0,72313.0,19820.0,1184.0,,0.0,0.0,
48213,"Henderson County, Texas",2022.0,1476.0,619785.0,144465.0,15354.0,0.0,0.0,0.0,0.0
48215,"Hidalgo County, Texas",2022.0,13037.0,7701896.0,1782284.0,221390.0,1.14931140394332,20.7866838402853,62.9941543644109,0.0
48217,"Hill County, Texas",2022.0,670.0,351111.0,78518.0,7646.0,0.0,0.0,0.0,0.0
48219,"Hockley County, Texas",2022.0,481.0,387821.0,90203.0,6296.0,0.0,0.0,0.0,1.42180094786729
48221,"Hood County, Texas",2022.0,1521.0,639450.0,143271.0,14802.0,0.0,0.0,0.0,0.0
48223,"Hopkins County, Texas",2022.0,801.0,567468.0,128080.0,11550.0,0.151057401812688,0.0,0.604229607250755,0.0
48225,"Houston County, Texas",2022.0,369.0,184399.0,46976.0,3929.0,0.0,0.0,0.0,1.66666666666666
48227,"Howard County, Texas",2022.0,728.0,483682.0,120983.0,8760.0,0.0,14.7249190938511,0.0,0.809061488673139
48229,"Hudspeth County, Texas",2022.0,32.0,18066.0,4124.0,357.0,0.0,0.0,0.0,0.0
48231,"Hunt County, Texas",2022.0,1774.0,1511612.0,358653.0,26645.0,0.0,0.0,0.0,7.88476118271417
48233,"Hutchinson County, Texas",2022.0,408.0,378355.0,106500.0,5712.0,,17.2413793103448,0.0,6.63129973474801
48235,"Irion County, Texas",2022.0,58.0,31862.0,7306.0,423.0,,0.0,0.0,0.0
48237,"Jack County, Texas",2022.0,219.0,118951.0,27150.0,1951.0,0.0,14.0,0.0,0.0
48239,"Jackson County, Texas",2022.0,339.0,308968.0,69602.0,5674.0,0.0,0.0,7.5268817204301,0.0
48241,"Jasper County, Texas",2022.0,648.0,358041.0,82699.0,8110.0,0.0,21.7898832684824,0.0,3.11284046692607
48243,"Jeff Davis County, Texas",2022.0,65.0,9662.0,2247.0,328.0,0.0,0.0,0.0,0.0
48245,"Jefferson County, Texas",2022.0,5680.0,6140700.0,1453612.0,100094.0,3.75457875457875,0.0,5.60897435897435,3.77747252747252
